update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
155,39680,38.78723622,955,0,0,0,0,1.941975892,-0.002014278,-0.000662762,5.50E-07,0.000833631,0,0,0,0
,,,,,,,,,,,,,,,,
156,39936,39.01384543,962,0,0,0,0,1.938639462,-0.001294353,-0.000829037,7.00E-07,0.001009572,0,0,0,0
,,,,,,,,,,,,,,,,
157,40192,38.79934855,968,-1,0,-1,-1,1.892806232,-0.047730139,0.051964728,0.016539847,0.022843092,-1,0,-1,-1
,,,,,,,,,,,,,,,,
158,40448,39.33641118,975,-1,0,-1,-1,1.91338259,-0.055459673,0.091023073,0.031912767,0.070057765,-1,0,-1,-1
,,,,,,,,,,,,,,,,
159,40704,40.80052645,981,0,0,0,0,1.851678073,-0.108354997,-0.025917152,0.000654367,0.049521259,0,0,0,0
,,,,,,,,,,,,,,,,
160,40960,40.61232329,987,0,0,0,0,1.901062071,-0.055342315,-0.015882974,1.71E-05,0.013306317,0,0,0,0
,,,,,,,,,,,,,,,,
161,41216,41.43471215,993,0,0,0,0,1.897424519,-0.031305527,-0.009918039,4.91E-05,0.009465438,0,0,0,0
,,,,,,,,,,,,,,,,
162,41472,39.99222549,1000,0,0,0,0,1.890722871,-0.038987814,-0.017191663,5.08E-05,0.012899197,0,0,0,0
,,,,,,,,,,,,,,,,
163,41728,40.19172033,1006,0,0,0,0,1.879626811,-0.033776714,-0.007668773,5.45E-05,0.006675604,0,0,0,0
,,,,,,,,,,,,,,,,
164,41984,40.23059186,1013,0,0,0,0,1.903757334,-0.034983557,-0.010113846,2.73E-05,0.008238108,0,0,0,0
,,,,,,,,,,,,,,,,
165,42240,40.42916213,1019,-1,0,-1,-1,1.861842573,-0.080939423,0.046987902,0.015032592,0.017358134,-1,0,-1,-1
,,,,,,,,,,,,,,,,
166,42496,42.38953426,1025,-1,0,-1,-1,1.913556576,-0.024003389,-0.005778203,1.08E-05,0.006081252,-1,0,-1,-1
,,,,,,,,,,,,,,,,
167,42752,42.28314514,1031,0,0,0,0,1.927274823,-0.017874432,-0.005752816,4.28E-06,0.002655888,0,0,0,0
,,,,,,,,,,,,,,,,
168,43008,41.84714628,1037,0,0,0,0,1.866559207,-0.087464403,0.017910565,0.000893708,0.011868118,0,0,0,0
,,,,,,,,,,,,,,,,
169,43264,42.21948693,1043,0,0,0,0,1.816340625,-0.066627357,-0.047829842,0.000616118,0.068315008,0,0,0,0
