update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
,,,,,,,,,,,,,
136,34816,29.86108598,1056,6.344999926,1.365958627,3,6.947894573,"['-0.143', '-0.060', '-0.054']","['0.027', '0.012', '0.004']",0.902500004,0.034251247,0.838947356,0.947894752
,,,,,,,,,,,,,
137,35072,29.54996238,1065,5.735043844,2.565510267,0,6.940789223,"['-0.022', '-0.016', '0.009']","['0.023', '0.010', '0.007']",0.882052636,0.066609496,0.763157904,0.940789461
,,,,,,,,,,,,,
138,35328,29.09273632,1074,6.684276342,0.39602793,6,6.936052799,"['-0.182', '0.052', '0.005']","['0.014', '0.014', '0.002']",0.912368417,0.031834504,0.8673684,0.93605262
,,,,,,,,,,,,,
139,35584,28.72127968,1082,6.750736809,0.375885097,6,6.954999924,"['-0.062', '-0.101', '0.019']","['0.020', '0.038', '0.002']",0.938421056,0.022027573,0.900526345,0.954999983
,,,,,,,,,,,,,
140,35840,29.10309458,1091,3.199210644,3.199210644,0,6.398421288,"['0.201', '0.352', '0.030']","['0.015', '0.058', '0.003']",0.398421049,0,0.398421049,0.398421049
,,,,,,,,,,,,,
141,36096,32.42361682,1099,4.841315746,1.841315746,3,6.682631493,"['0.582', '0.384', '-0.003']","['0.295', '0.206', '0.003']",0.682631552,0,0.682631552,0.682631552
,,,,,,,,,,,,,
142,36352,32.08562527,1107,3,0,3,3,"['0.725', '0.279', 'None']","['0.464', '0.051', 'None']",0,0,0,0
,,,,,,,,,,,,,
143,36608,37.50054523,1114,0,0,0,0,"['0.673', 'None', 'None']","['0.309', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
144,36864,29.31827319,1123,6,0,6,6,"['-0.720', '0.136', '0.032']","['0.202', '0.011', '0.000']",0,0,0,0
,,,,,,,,,,,,,
145,37120,31.950788,1131,3,0,3,3,"['0.274', '0.314', 'None']","['0.040', '0.051', 'None']",0,0,0,0
,,,,,,,,,,,,,
146,37376,32.04402583,1139,3,0,3,3,"['0.532', '0.192', 'None']","['0.272', '0.014', 'None']",0,0,0,0
,,,,,,,,,,,,,
147,37632,29.05174632,1148,6,0,6,6,"['0.338', '0.056', '-0.015']","['0.117', '0.040', '0.000']",0,0,0,0
,,,,,,,,,,,,,
148,37888,37.70445536,1154,0,0,0,0,"['0.491', 'None', 'None']","['0.181', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
149,38144,37.22259032,1161,0,0,0,0,"['0.457', 'None', 'None']","['0.121', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
150,38400,32.4389145,1169,3,0,3,3,"['-0.019', '0.214', 'None']","['0.084', '0.016', 'None']",0,0,0,0
,,,,,,,,,,,,,
151,38656,29.20661166,1178,6.340131521,0.340131521,6,6.680263042,"['-0.102', '-0.799', '-0.105']","['0.492', '0.475', '0.002']",0.680263162,0,0.680263162,0.680263162
,,,,,,,,,,,,,
152,38912,29.03471732,1187,4.925394773,1.925394773,3,6.850789547,"['-1.389', '0.176', '-0.091']","['1.302', '0.078', '0.001']",0.850789487,0,0.850789487,0.850789487
,,,,,,,,,,,,,
153,39168,33.2662125,1194,4.806973696,1.806973696,3,6.613947392,"['-0.167', '0.101', '0.025']","['0.289', '0.096', '0.000']",0.613947392,0,0.613947392,0.613947392
,,,,,,,,,,,,,
